timestamp,als,lux,uvs,uvi,temp_c,pressure_mbar,ozone_ppb,rtc_temp_c,sensor_flags,isa_alt_km,o3_ppmv,uv_erythemal_Wm2,vis_Wm2
2026/04/23 12:24:18,42988,8597.6,132,2.26,13.74,933.7,21,33.75,15,0.684295,0.021,0.0565,71.6467
2026/04/23 12:24:32,36776,7355.2,132,2.26,12.94,925.5,29,33,15,0.757486,0.029,0.0565,61.2933
2026/04/23 12:51:22,65897,13179.4,318,5.45,-35.53,299.66,21,11.25,15,9.17154,0.021,0.13625,109.828
2026/04/23 12:51:36,68289,13657.8,328,5.62,-36.02,295.8,25,11.25,15,9.25816,0.025,0.1405,113.815
2026/04/23 12:51:51,64418,12883.6,304,5.21,-36.4,293.15,,11.25,15,9.31816,,0.13025,107.363
2026/04/23 12:52:08,72901,14580.2,332,5.69,-37.01,288.56,25,11.25,15,9.42313,0.025,0.14225,121.502
2026/04/23 12:52:23,70193,14038.6,317,5.43,-37.25,285.19,25,10,15,9.50107,0.025,0.13575,116.988
2026/04/23 12:52:37,70358,14071.6,331,5.67,-37.61,281.41,20,10,15,9.58938,0.02,0.14175,117.263
2026/04/23 12:52:51,68223,13644.6,327,5.61,-38.12,277.27,27,10,15,9.6872,0.027,0.14025,113.705
2026/04/23 12:53:06,74385,14877,,,-38.54,273.7,27,10,15,9.77252,0.027,,123.975
2026/04/23 12:53:20,76959,15391.8,329,5.64,-39.06,270,25,9,15,9.86189,0.025,0.141,128.265
2026/04/23 12:53:37,68812,13762.4,323,5.54,-40.01,265.53,20,9,15,9.9712,0.02,0.1385,114.687
2026/04/23 12:53:52,65570,13114,317,5.43,-40.33,262.73,20,9,15,10.0404,0.02,0.13575,109.283
2026/04/23 12:54:06,67395,13479,320,5.49,-40.74,259.08,20,9,15,10.1316,0.02,0.13725,112.325
2026/04/23 12:54:21,70516,14103.2,317,5.43,-41.24,255.5,,9,15,10.222,,0.13575,117.527
2026/04/23 12:54:35,70925,14185,333,5.71,-41.69,251.6,,8.25,15,10.3217,,0.14275,118.208
2026/04/23 12:54:52,67005,13401,318,5.45,-42.01,247.99,27,8.25,15,10.4151,0.027,0.13625,111.675
2026/04/23 12:55:07,77746,15549.2,341,5.85,-42.3,244.51,20,8.25,15,10.5061,0.02,0.14625,129.577
2026/04/23 12:55:21,67287,13457.4,325,5.57,-42.71,241.11,25,8.25,15,10.5961,0.025,0.13925,112.145
2026/04/23 12:55:35,67656,13531.2,325,5.57,-43.04,238.06,20,7,15,10.6778,0.02,0.13925,112.76
2026/04/23 12:55:38,76018,15203.6,345,5.91,-43.22,236.91,,7,15,10.7087,,0.14775,126.697
2026/04/23 12:55:53,70620,14124,339,5.81,-43.57,233.89,,7,15,10.7907,,0.14525,117.7
2026/04/23 12:55:56,81044,16208.8,351,6.02,-43.64,232.79,24,7,15,10.8208,0.024,0.1505,135.073
2026/04/23 12:56:10,67623,13524.6,316,5.42,-43.96,230.92,20,7,15,10.8722,0.02,0.1355,112.705
2026/04/23 12:56:25,70063,14012.6,329,5.64,-44.24,227.93,20,7,15,10.955,0.02,0.141,116.772
