z_km,p_hPa,uv_resp_eup_Wm2,uv_resp_eglo_Wm2,als_resp_eup_Wm2,als_resp_eglo_Wm2
0,1013.25,2.26882,15.1254,12.583,83.8852
1,898.746,2.89708,15.859,12.8667,85.4519
2,794.952,3.40622,16.6432,12.7825,88.5074
3,701.085,3.83988,17.4663,12.5386,92.4539
4,616.402,4.2236,18.3093,12.2654,96.8147
5,540.199,4.5687,19.1664,12.0074,101.35
6,471.81,4.88106,20.0376,11.7778,105.922
7,410.607,5.1654,20.9199,11.5835,110.401
8,355.998,5.42512,21.8133,11.4239,114.701
9,307.424,5.66303,22.7167,11.2976,118.749
10,264.362,5.88016,23.6365,11.1967,122.533
11,226.32,6.07908,24.5663,11.1222,125.982
12,193.304,6.26181,25.4941,11.0735,129.042
13,165.104,6.42854,26.4186,11.044,131.733
14,141.018,6.57717,27.3309,11.029,134.048
15,120.446,6.7065,28.2172,11.0242,135.995
16,102.874,6.81893,29.074,11.0263,137.623
17,87.8667,6.91705,29.901,11.0331,138.987
18,75.0483,7.00244,30.6936,11.0428,140.122
19,64.0999,7.0765,31.4462,11.0542,141.064
20,54.7488,7.14076,32.1552,11.0665,141.842
21,46.7788,7.1962,32.8248,11.0784,142.492
22,39.9978,7.24375,33.4606,11.0893,143.041
23,34.2243,7.28466,34.0628,11.0991,143.504
24,29.3048,7.31986,34.6305,11.108,143.895
25,25.1102,7.35008,35.1633,11.1158,144.225
26,21.5309,7.37336,35.6029,11.1223,144.473
27,18.4745,7.39681,36.0867,11.1288,144.72
28,15.8629,7.41666,36.5283,11.1345,144.926
29,13.6296,7.4328,36.9101,11.1393,145.088
30,11.7186,7.44906,37.3282,11.1442,145.25
31,10.0823,7.46017,37.6295,11.1477,145.358
32,8.68016,7.47134,37.9542,11.1512,145.466
33,7.48226,7.48081,38.2471,11.1543,145.556
34,6.4612,7.48855,38.4992,11.1568,145.628
35,5.58921,7.49633,38.7688,11.1594,145.701
36,4.84315,7.50183,38.9615,11.1613,145.749
37,4.20365,7.50735,39.1648,11.1632,145.798
38,3.65453,7.51213,39.3447,11.1649,145.838
39,3.18219,7.51618,39.4974,11.1663,145.871
40,2.7752,7.52024,39.6572,11.1678,145.904
