# p_hPa   O3_mmr_kg_per_kg
  1000.000 8.0818717881e-08
   925.000 9.8153276570e-08
   850.000 1.0680070059e-07
   700.000 1.0716078566e-07
   600.000 1.1561651883e-07
   500.000 1.1798084260e-07
   400.000 9.7760332178e-08
   300.000 1.2105381480e-07
   250.000 1.5253529388e-07
   200.000 3.1345002045e-07
   150.000 1.2182180783e-06
   100.000 1.7604843102e-06
    70.000 3.4746805503e-06
    50.000 5.6006598198e-06
    30.000 7.3313070429e-06
    20.000 8.8988112151e-06
    10.000 1.2620656414e-05
     7.000 1.2204497138e-05
     5.000 1.1184749189e-05
     3.000 9.1315580668e-06
     2.000 7.1368516819e-06
     1.000 4.1326202266e-06
